,title,rating,content,sentence_length
260,Dentist recommended!,5,"The brush rotates in a much smoother and gentler fashion than sonic care brands. I have pretty rough teeth, but this brush is a lot less rough itself. It will even slow the pulse while brushing, it's pretty good about reading when to do this.

Only complaint; the water pools onto the charger from brushing, and it's not very appealing to see, more of a maintenance you have to keep up on. But the value, worth it.",77
261,Cleans well,4,"This brush takes a lot of getting used to. First of all it vibrates like a jackhammer and is rather loud. I worry a bit about the effects of the vibration against my teeth. However it does seem to clean my teeth better than a manual brush. I'm trying to get used to this one so I use it every other brushing and switch off with my manual toothbrush. I wish the vibration wasn't so powerful, but maybe one of the more expensive models has that figured out. I do like the pulsing feature that lets you know to change quadrants, that has helped me brush my teeth longer.",109
262,Expensive but thorough,5,"I particularly liked the timer, dividing the teeth cleaning into quarters. Brushing seemed to go faster when I didn't have to think about it. It does a good job cleaning and I got the smaller brush attachment so I could reach back to do my wisdom teeth. I do think the brush heads are expensive especially considering they should be replaced every 3 months.",64
263,Not good for deep cleaning; tiny brush head not good for nothing,2,"I get better cleaning from my manual toothbrush. The Oral B leaves a lot of food even after I rinse before brushing. The smallest brush head came with the unit so I bought flossing heads from Amazon to see if the results would be better. Flossing heads helped some, but the cost of the Oral B replacement heads is OUTRAGEOUS, so I ordered the off brand heads. The timer function works great, though. I would not recommend this to a friend. And why would a toothbrush have Bluetooth connectivity?",89
264,"Stopped charging, SCAM WARRANTY",1,"About two and half months after I bought this it stopped taking a charge. I contacted customer service at Braun and was told to go to their website to get their mail-in instructions and return code. The website doesn't work. I tried it nimerous times over the course of weeks. For starters, it didn't show the model number so I couldn't select it. Eventually, to move forward, I selected a model that was listed and then was taken to another page that won't let you progress. So there's no way to get the approval and instructions to send it in for a replacement. I tried calling customer service back but the hold was way too long and eventually I gave up and bought a different toothbrush. I suspect the website doesn't work on purpose. Most people will give up before enduring more hassle.",143
265,The best toothbrush on the market,5,"This is our third Oral-B rechargeable electric toothbrush--they last about 7 years if our experience is anything to go by, which seems more than adequate to me. They do a fantastic job of keeping your teeth clean, especially the back molars. I'm lucky in that my wisdom teeth came in like normal molars, but that means there's an extra bit of reaching I need to do to keep them clean. My dental hygienist always compliments me on the fact that I'm able to keep them shiny back there, and I credit it entirely to the shape and function of this brush. I highly recommend it.",105
266,Cleans great,4,"This gets the job done, effectively!
Just make sure not to use it when everyone is asleep because you'll wake the dead with how loud it is, lol! Okay, it isn't THAT loud, but noticably louder compared to others I've used in the past. But this one cleans the best so, it's a trade off. Also, I feel that the battery starts blinking for a recharge about every 4ish days",70
267,Love the toothbrush,5,"It doesn’t connect to bluetooth so idk why it has that option. But it’s a great toothbrush none the less. I have seen results already in the one week that i’ve had it. Whiter teeth, cleaner gums, and it simply makes brushing your teeth more exciting for me. I look forward to seeing the results after every brush. It vibrates to tell you to move on the next part of your mouth and after 2 minutes it vibrates again to tell you you’ve brushed a good amount. It turns off if you apply too much pressure which helps me a lot as i’m very heavy handed and my gums use to bleed often. But now it does not bleed at all. I love this tooth brush. I’m a happy customer",130
268,Good Toothbrush,4,I can tell my teeth are cleaner around the gums than when I used a manual toothbrush. The battery lasts at least a week between charges. The only downside is how noisy it is and getting used to the timer...minor.,40
269,Works just as well as Braun’s more costly models,5,I’ve used Braun toothbrushes for several years. My old one started coming apart near the on/off switch allowing water to enter. I chose this model compared to several higher priced ones and find it to be more than adequate. I like the look of black and white body. I also happened to have about a dozen refill brushes which fit this model.,62
270,Solid Toothbrush,4,"Everything ranging from the rotating technology to the thoroughness of the bristles clean extremely well. It's a solid toothbrush for 40 dollars and highly recommended. As to the one star missing, it could have a better battery life. Your average user would not care about the battery life due to putting it back on the charging stand after every use but I did want to point out the misleading battery life.",71
271,It's a step backwards from my previous Oral-B toothbrush,3,"This model is disappointing compared with my previous Oral-B toothbrush that lasted for 8 1/2 years before the battery died. The body of this model is a smooth plastic that is very slippery when wet. It runs at a higher speed than my previous model which is probably the reason I get fewer uses from it when I need to do the deep discharge. I haven't been able to detect any indication that I'm using too much pressure when brushing even when I purposely exert a lot of pressure. I suspect that the pressure sensing function isn't working.

What irritates me the most is that the information at the Amazon site clearly states that it contains a lithium-ion battery. Printed on both the box it came in and on the device itself is the fact that it contains a NiMH battery.",141
272,Stains your countertop,2,"When I first got it - I thought “that feels nice!” And thought it was such an upgrade from my static toothbrush.

Then after using it for about a week...I noticed these black stains on my counter.

The toothbrush material stains and leaks black dye from the toothbrush handle each time you brush your teeth.

Secondly I barely noticed any “timer” function , it just feels like the toothbrush is stalling or dying of battery so it’s hard to tell when you should move to the next quadrant. Would be better if it beeped or made some other noise.

I didn’t feel this particular toothbrush was a good buy. I prefer the $6 one I can get off the shelf at the local supermarket or pharmacy",126
273,"Easy to use, highly recommended electric tooth brush.",5,"This Oral-B electric toothbrush cleans well and is easy to use. Although I would like it to charge faster, the battery lasts through many cycles. The motor is strong and the brush cleans well. The brush heads, while not inexpensive, are easy to change. I do think the brush colors fade to quickly to suggest a changeout. I’ve had this brush for 3 years, Andy it has been entirely reliable.",70
274,My dentist recommended it. He was right.,5,"I had started with the least expensive Oral B electric tooth brush (battery powered). When it came time to replace it (it lasted for years!), I did not want to buy the more expensive, top of the line Oral B's with so many functions that I knew I would never use. Then I came across this single function, but much less expensive rechargeable unit. I decided to try it. It brushes much better than the one I replaced. My only regret is that I didn't get it sooner.",88
275,WOW! They really mean it!,5,"Powerful brush. This did in one use what I normally get for a dental cleaning, it's that good. I've used SoniCare for the past 2 years. I think this Oral B model outshines even the best of my 3 SoniCare models. With that said? The vibratory action of the brush is incredibly strong. If your mouth is sensitive or if you've been squeamish about using any type of electric toothbrush, then honestly, this is not for you. At least, this is THIS model. You might want to try calling the manufacturer for them to recommend what would work best for your sensitivity.",102
276,Wore away enamel?,1,"Pro: made my teeth feel really clean.

Con: teeth were throbbing with uncomfortable temperature sensitivity after two weeks of twice daily use. Internet research has now told me that these things can actually wear away your enamel.

So if you already have sensitive teeth and/or thin enamel, steer clear.",49
277,Impressed,5,I am up in years and this is my first electric toothbrush. I have always been a stickler for brushing my teeth and I have to say my teeth have only been this clean after a dentist cleaning. Hands down it's the best. It cleans and shines my teeth so well. I will say I don't need the timer but other than that I am a huge fan.,68
278,Not right for those with crowns,1,"This toothbrush is VERY powerful. I realized in less than 10 seconds it was too powerful to use on my crowns and immediately turned it off. Fortunately, I was able to return it for a full refund. I strongly recommend that Oral B put a disclaimer in its description saying this product is too powerful for those with crown work. (The 500 model is fine.)",65
279,Dropped $10 after purchase,3,"Works well for me, the wife and kid don’t like it because it’s noisy. My 10 year old said it hurts their teeth, so I tried advising to use it very lightly but it hasn’t been used for a while.

Anyway, I’m probably the only one going to use this while the second one goes to waste.

Now I saw the price dropped from $50 to $40 about 3-4 weeks after purchase. There’s insult to injury.

Well, a dad can only try his best. Didn’t work out.",87
280,Do not purchase,1,"Toothbrush is not like other Oral-B toothbrushes that I bought in the past it is very weak and does not clean the teeth as other toothbrushes from Oral-B that I have purchased.

The brush part that attaches to the motorized part does not stay on in a strong or connected way it is loose and kind of wobbles",58
281,Came with fully discharged battery. Plastic on the cheep side.,2,"Came with fully discharged battery. Considering that NiMH batteries are usually charged 40% for long term storage this item must have been on the shelf way too long. Dead such battery deserves at least $20 discount.Plastic on the cheep side even though I have seen worst on more expensive items.
On additional note the toothbrush is normal (for me) to be sitting on the counter in the bathroom where occasional water spills are very normal so providing charger with a water warning is bad design from my point of view.
Will update after a week if it keeps the charge or goes back.",103
282,Great clean feeling!,5,"So far I really like this toothbrush. Its the first electric toothbrush I've owned, so I can't really say if its any better than others. That being said, there is a noticeable difference with how smooth my teeth feel now after using this electric toothbrush compared to my manual brush. It has a sensor that lets you know if you are brushing too hard and also pulsates every 30 seconds to let you know to move the toothbrush to the other portion of your mouth and then long vibrates after 2 minutes to let you know you are finished. Overall a good toothbrush and I'd recommend to anyone.",108
283,WOW!,5,"I had a side-to-side motion rechargeable toothbrush that I ordered from Amazon until the replacement heads were no longer available. So I bought this one. Wow- what a difference! The other toothbrush was hard on my gums and even though this one feels much more powerful, it doesn't tear up my gums! My dentist confirmed that the rotary motion is preferred and now I get it.",66
284,Excellent Toothbrush!,5,"I’ve used Oral B toothbrushes for years and I’ve never been disappointed, including this one. I have the Bluetooth 5000 as well as a 1000. After several years my 1000 was getting kind of slow so I replaced it with two new black 1000s. I liked them so much I got one for my son at college. He travels so I also got him a travel case. We are all very happy with these brushes. Battery life is great, lots of power. Cleans great and the shape is thin enough so it is very easy to use. Price is fair and it has all the features you really need. No complaints!",111
285,This is not the one,1,"We have multiple other Oral B electric toothbrushes which we love, but the brushing on this one is WAY too aggressive. This toothbrush has only one speed so there is not option to make it go slower and it feels like it is taking the surface of your teeth. It advertises a pressure setting, but that is useless when the speed of the toothbrush itself is so intense. I would advise against this toothbrush.",74
286,"Stopped working after 5 months, and started working again 2 months later",4,"This is the second Oral-B 1000 I bought. The first one was bought almost three years ago and is still going strong. This one went dead five months after purchase. I contacted Oral-B (customer service is good). Before I was about to send it back for repair, it started working again. I guess water somehow got into it. It took two months for the water to try out, and then the toothbrush started working again.",75
287,Rough on the Gums. Sonicare is better.,3,"My mother is a dental hygienist, so ever since childhood, teeth have been of high importance.
Ever since the advent of the electric toothbrush, I have had Oral-B and Sonicare products and have come to trust both.
However, my most recent purchase of this Oral-B Black Pro-1000 was rough.
HERE'S WHY:
I have directly compared Oral-B to Sonicare and can say without a doubt that both companies are durable.
BUT, the Oral-B brush scrapes up your gums. You will feel this within a few uses.
Sonicare products provide superior cleaning without being rough on your gums. Sonicare products are also much quieter.",102
288,Cheap,1,"Bought this to replace one from 15 years ago that still worked perfectly w three speeds but outer rubber was wearing off

Sadly this one is not the same or as advertised
very disappointed only one speed and engine definitely not the same
weight of product very diff too
Not sure this is real might be counterfeit",57
289,"WEAK, waste of money",1,"To be honest, I’ve been pretty spoiled with toothbrushes
Normally I spend between 180 and $250 on an electronic brush but I decided to give this one a try.
Big mistake ultimately I returned it and tried out the aquasonic that has really good reviews
The motor is extremely strong and gets my teeth dentist clean. But this one is a waste.",62
290,"Good value overall, but charging time not that great",4,"This is a good overall toothbrush for the price. My main complaint would be with the charging time. It takes much too long for a full charge. I brush in the morning and again when I'm going to bed. It should not take longer to charge than the time between brushings, as it's not fully charged, I have to use it, then it finishes charging before the next time. This isn't ideal for the battery's life. I would also say that once charged, the brush speed is very good, but that doesn't seem to last for more than a few brushings, then it's at a more normal, less powerful speed. It still works well at that speed, but I'd prefer it faster for longer, but it's just a minor complaint.",130
291,Too slowly and meager battery life,2,Knowing oral B since 15+ years this has by far the lowest battery life. After 3 says it’s gone despite the fact that the rotation speed is much lower than higher version. Back to the roots,36
292,Toothbrush,5,"I decided to wait until I had this toothbrush for some time before reviewing it. I remain very pleased with the toothbrush. I not only am pleased with how thoroughly it cleans, but like the timer function as well. It had been very easy to just brush your teeth and not pay any attention to how much time you spend. This timer function allows you to make sure you spend at least 2 minutes, while brushing all parts of your teeth equally. The brush does a very thorough job and again, I am very pleased with it.",97
293,Not at all impressed,2,"I switched from a Phillips Sonicare to this - my Sonicare was purchased in 2013 and the battery still lasted for upwards of a month at a time. This new toothbrush runs dead within a week. The vibration is very intense and I've scraped my gums using it. I don't like the awkwardness of trying to get along the gum line, and I have found from the dentist that I have some tea stains on the lower front teeth that this has not been able to get fully.",88
294,Great product. It’s worth the $,5,I am never going back to a manual toothbrush ever again! This is the best purchase I’ve made in a while. My dentist recommended I purchase an electric toothbrush as I have inflamed gums a lot due to overcrowding teeth. This has great improved my gum health and reduced inflammation. It as well leaves my teeth feeling shiny and clean. Much better than a manual could do. It’s worth the money!,71
295,AMAZING product for white teeth and healthy gums!!!!!,5,"This product is AMAZING!!!! It makes brushing so easy, holds a charge FOREVER, does a fantastic job of cleaning your teeth and gums, and is much better and cheaper than my Sonicare. I'd only been using the Oral-B Pro 1000 for about a month when I went to my dentist for a checkup and cleaning. He said my teeth were noticeably whiter and my gums looked ""excellent"" and were almost perfect! I couldn't be happier about this product and am now buying them for my family members. If you want beautiful teeth and like the idea of saving money at the dentist, I highly recommend!",105
296,Works great!,5,"Shipping was fast.
The toothbrush works great! The timer works - it vibrates every 30 seconds to remind me to move on to the next quadrant, and vibrates extra long at after 2 minutes to signal the end.
I haven’t bothered trying to connect it to Bluetooth because…why? If I find a reason to, I’ll do it and update this review.",61
297,Tiger By The Tail,2,"This item is way overpowered for the job it does. It really needs a second lower speed. When using it, it vibrates quite violently and spatters tiny drops of toothpaste all over. I suspect I would get less trouble if I tried to use my Dremel MultiMaster. At least I can control the vibation with the Dremel. I was afraid this toothbrush would vibtate me into a concussion. I was also concerned about the abrasion factor on tooth enamel. It is a nicely designed product, and the interchangeable brush heads are a nice point; but the unit is severely overpowered.",100
298,Much better than regular toothbrushes,5,"I switched from regular toothbrushes to the 1000. It was a difference! I couldn’t see any leftover plaque, my mouth felt and looked cleaner than just brushing and mouthwash. There was no Bluetooth on mine but the time function worked just fine. It surprised me at first but you get used to it.",53
299,Pretty good.,4,I never tried the Bluetooth connect so this review will be updated once I try that and actually go to the dentist and see what they say. Besides that it’s very easy to use and seems to clean great! The timer function is tricky as it vibrates every 30 seconds instead of an actual count down. So keep a good memory on when to move. I just go through every quadrant one vibrate at a time. Found its best to place the toothpaste on the brush and go over your teeth prior to turning it on to brush. Spreads it good.,101
300,Great toothbrush,4,"Great toothbrush. I like that it gently pulses every 30 seconds. It is also very reliable. The charge pasta a long time. I had trouble changing the brush head the first time, when I pulled off the old one I didn't realize it left a piece of the head behind. It looked like it wouldn't fit any of the brushes. But once I figured that out, I had no problem. It fits regular Oral B brushes, and generic brands. My only complaint is that the picture in the description says it fits ALL Oral B replacement brushes, but then when you read the seller responses questions it is clear that there are exceptions. That's The only reason for losing 1 star. If the seller changes the description, I will change my review.",132
301,Good,5,"I have sensitive gums. This toothbrush really helps clean my teeth. I am not quite sure how to connect it using bluetooth and I know how to do bluetooth in general. I am not sure if it is the specific type of this toothbrush that I have that does not include the bluetooth function or what. Otherwise, it is worth the amount of money you pay.",66
302,Powerful and reliable.,5,"Wow! After the failure of two very inexpenssive CVS units, this Oral-B is really good, easily worth the money. It is powerful, doing a good job on my teeth. I really like the fact that it indicates every 30 seconds to change to another quadrant. For those who complain about slow recharge, it doesen't bother me. Just set it up in the morning, and it has enough charge for evening brushing, and is completely charged by morning! I get 13 brushings on a charge, it takes 11 hours to recharge, so It charges at a rate of 1.3 brushings each hour. That's plenty.

The CVS devices were not only unreliable, but the company discontinued them so I couldn't even get new brushes! Oral-B has a number of supliers of replacement brushes, including Oral-B themselves.",134
303,If you want to keep your teeth and turn your checkups into a reasonably pleasant experience ... you need an Oral-B,5,"I've been using an Oral-B electric toothbrush for nearly 20 years. Since I started using the Oral-B, all of my six month check ups have been great.
The hygienist almost always asks what I do to keep my teeth and gums in such good shape. They are especially impressed with how clean the inside of teeth are.

My first Oral-B lasted about 14 years before the battery just wouldn't hold a charge anymore. I just purchased this as my replacement and expect it to last just as long. Germany engineering and manufacturing ... it's really hard to beat :-)",99
304,Battery is awful after 6 months. Great for basics.,3,"PROS: This toothbrush is basic, in the best way. No Bluetooth, no additional modes, just brush, timer vibrates, switch, etc, done.

Cons: I am by no means a dental hygienist. I probably brush my teeth for just about a minute twice a day. Though the misses will unplug while she makes the bathroom into a makeup studio getting ready for work. If I don’t remember to after a few days. The battery is dead. Yeah it’s a minor point, but I’ve had other versions of this, and brands, that go a week or so on a single charge. So other than great, yeah it’s good.",105
305,Ordered the same item twice and received two different items,4,"I ordered this item and was very pleased with it (5 stars). I ordered another... the same item, and received something that had the same model number on the box, but we clearly a different item. This second item isn't as good as the first... its not as fast, and doesn't appear to be as well-built. 4 stars for this one.",61
306,Major charging/batteries issue,2,"The toothbrush works fine but there’s a serious issue with the battery. It never fully charges even after an entire day. The longest I have been able to use it was 3 times in a row, then the battery drained out again. I had an older model that would work for a week without charging.
I would return it if I could, but unfortunately I threw the package away.
Do not buy.",72
307,"Bad port, but awesome brush",5,"The charging port was bad when I got it and it wouldn’t charge. When I contacted amazon they said I would have to send the toothbrush back too in order to get a replacement charging port. Don’t understand why we can’t just exchange the bad part. I have another port I can use from old brush so I’m just gonna use that because I want to use my new brush.

Update: spoke with the people at Oral B and they are sending me a new charger. Had the brush before it’s amazing! Nice deep clean.",95
308,Did you get this piece of trash from China?,1,"So I got this from you last December. Here is is April and it died this morning, neither works nor charges. Not worth it for me to send it back to you, so forget the refund, but I'd say ditch that companies stuff. Obviously their quality control is about as real as a manticore.
Also, not long before the toothbrush I bought a water pick sort of thing. It no longer holds a charge so I have to keep it plugged in when I'm using it. Another piece of trash and another supplier/manufacturer to be dumped like a clod of do-do.",101
309,no 2 minute timer,3,"Packaging and description are deceptive. The side of the package list a 2-minute timer, but no line pointing to it on the picture. There is no timer light on the product as pictured. Also the word ""pro"" is not on the box. The manual is for a Pro 1000 and Triaction 1000, the latter not listed on the OralB website. If you register the product (for a $7 coupon), you have to identify the model. There is a Pro 1000 listed, but it is not this product. It seems OralB has so many and changing models that they can't keep up with their own changes. This is my first electric toothbrush and really can't attest to actual brushing and use as I'm still getting used to it. It works so far after 2 days of use.",136
310,"Lightweight, powerful action. Easy charging. Very good cleaning!",4,"I feel like I'm coming to the e-brush era at a good time. The technology (particularly the charging) is very good. This is my first e-brush and I have to say, impressive...this cleaning head is better than the periodontal hygienist cleaning I get every 4 months, well, not, but it feels like it! I regularly floss as well. However, this circular brush action, really cleans well and also a little below the gum line, which is essential for gum health. This particular set-up is easy and the instrument is lightweight and easy to manipulate in the mouth.",97
311,The best gift for yourself and all those you.love.,5,"A perfect product for improving dental hygiene. Keeps gingivitis at bay, gets in hard to reach places and effortless operation. I personally use it longer than the 'vibration' hint reminder to change quadrants. A noticeable difference in the morning vs normal brushing. My mouth is cleaner, less ""gummy"" feeling. This item, in combination with a water-pik has saved my teeth and gums. I feel better too, as the mouth can be a gateway for bacteria when gums aren't healthy, and I do not want to ever need dentures. This is a gift for whoever uses it. My wife has her brush too, they pop off and on with an easy tug. Very, VERY glad this is in our bathroom!",119
312,Cleans great,5,I’ve had this product for at least a month now and so far I really like it. I know it’s loud but it’s only two minutes. I can live with that. I always put it back in the charging unit when I’m through. I think it works very well and it seems to clean my teeth much better than a regular brush. We’ll see if the battery holds out in four months. I have bought these toothbrushes in the past and they have lasted a long time,87
313,Oral B 1000,3,"This rotating brush is expensive for what you get. Instructions suggest brushing for 2 minutes each time. I brush twice a day about 1 minute each. If I brush a little hard, the brush stops spinning. The instructions also say to change out the brush every 3 months. Hah! It's pushing it to get 30 days from a brush replacement. Brush replacements are also expensive. After each use, the unit must be thoroughly wiped down; if you don't it drips on the charger and leaves gunk.",86
314,"This Braun is a powerhouse of a toothbrush, if not accustomed to power, go easy!",5,"I have had several Brauns, Sonics, & off brands, I am an 81yr old guy who still has teeth I should have, this is a fine toothbrush w/ latest brushed included that will shock you with power , however it does not get in between teeth as shown on TV, you need to floss or waterpik!
If you need a toothbrush & are looking @ reviews, I am a practical person that knows when a product is a fair value, I do not know if it is still a good price, I purchased BLACK FRIDAY.",95
315,Not what I expected even for that price point,2,"Coming from a Phillips sonicare to an oral B - huge difference but not in a good way
I thought this one had more than one mode, it does not, the mechanism feel bulky and brush head is just...clanky. Plus the charge - well having to charge after one or just keep it on the cherger constantly is a let down
I should not have strayed from Phillips. Will be going back to them
I'll keep these around for guests, not my fancy.",83
316,Very Cheap!!!,1,I was thought Oral B was better than my Phillips toothbrush. So instead of spending to much money I decided to try this one what a mistake. Doesn’t have a long charging time and it doesn’t cut off after two minutes of brushing. Now I’m afraid to try the other ones. Update! Stop working and I’m surprised their hasn’t been contact from the company!,64
317,I'm only upset that I didn't discover this sooner,5,"Maybe I'm a big kid at heart, or just downright immature...but this toothbrush made brushing FUN for me. But not only is it fun, it also WORKS. My teeth feel 100x cleaner than when I was using a regular toothbrush. I will say that it can be a little harsh on the gums if you're heavy handed like I am, so it will be a bit of a learning curve...but all in all, I say WORTH IT.",77
318,Spa treatment for your teeth,5,"My wife and I share the handle and have our own toothbrush head attachments. This investment has been great for our dental hygiene. I feel each time after a session of brushing my teeth that I have covered all areas of my teeth. Truly feels like a deep cleaning. I have the criss-cross action toothbrush head and my wife has the sensitive gum polish brush head. I end up having a feeling of polished, clean teeth. The pulse timer is 30 seconds long and is enough time to cover each quadrant. Takes about 2 minutes to brush. Feels great because it's not as laborious as a manual brush.",108
319,"Over-priced, under-featured",2,"This is no different or better than the $15 Oral-B electric toothbrush I purchased 10 years ago. It is just as loud, if not louder, and the pressure sensor function does not appear to work. I pressed the brush hard against my teeth to test it and it continued to run. I pressed it very hard into my finger and it still kept whirring away. Complete waste of money..I would suggest getting a $10 electric toothbrush that performs just as well as this one, or stepping up to a much more expensive one that actually has the features it advertises.",100
320,I wasn't particularly thrilled with this.,2,"I have used a sonic toothbrush for years and when it stopped working, decided to try this. I could immediately tell this did not clean as good as my old sonic. The timer function also doesn't work properly or is too complicated for me to use it correctly. A good toothbrush will stop after two minutes -- this one doesn't. It is also really noisy. Sounds like a boat motor.",70
321,Inflation?,4,"Why did I pay $40 for something I bought 6 years ago for $20? Yes, it wasn’t called pro-1000, but it was Oral B and had the same power and functionality. I only bought this one because I forgot the old one on a trip, it was still working the same as if I just bought it.

Also, this survey suggests there’s Bluetooth feature, but I’m not aware of one.

Overall it works fine, but the price increase is not justified.",81
322,Really like,4,"I really like this toothbrush. It has good power, the 30 sec “switch to a new zone” reminder is great, easy to use. Also, charges pretty fast.
Cons:
- The “you’re pushing too hard” sensor doesn’t work, I tested it and literally it stopped once the plastic part of the head was touchinf my teeth and I think it only stopped Bc the friction was too great
- I do appareciate when a toothbrush auto turns off after the 2 min- this one doesn’t.

Overall tho, I’m quite happy with the toothbrush, my teeth feel nice and clean! At the end of the day, if they didn’t it wouldn’t be a toothbrush.",112
323,STORAGE FOR MILDEW,1,"At first glance, I was thrilled to use this thing. The timer function was neat and really got me to keep cleaning when I needed too. But now it's just a function that keeps the mold inside the brush swishing around my pearly whites. I caught a slight odor of mildew this morning and being a little suspicious since I also woke up with a sore throat, I decided to inspect this toothbrush and I found some nasty mold growth throughout. Never getting this brush again. What's odd is that my husband has had the same brush and model for longer and his shows no signs of said mildew.",109
324,The absolute worst toothbrush possible,1,"This got my teeth clean, but i consistently experienced a problem where the brushhead would slip because the toothbrush is so top-heavy. it would constantly hit my lower-gums, which wasn't a problem until the ~2nd time it broke the skin-- there was blood everywhere and it was awful. I've never experienced anything like this with other electric toothbrushes. My entire mouth has been hurting for days because of it. Maybe I got a defective one with a loose brushhead, but it's not worth the pain and I will be throwing this in the garbage.",94
325,This sucks,1,"Hate it. Don't like the way it's hard to tell the difference between the 30 second sound intervals and the supposedly ""long"" stuttering sound that signals the end of the session. My old Oral-B, which I still use, only has the stuttering sound when you're at the end of the 2 minute brushing time. Can't be returned so I'm tossing it!",61
326,"Good brush. Cheap battery, wrong description.",3,"It has Ni-MH battery, not Lithium. Description is wrong. Look at the bottom of the toothbrush.
It means charger cannot be left plugged in, it will decrease the battery life. Battery needs to be run down to 10% before it is recharged, otherwise battery capacity will become less.",48
327,Makes a difference,5,I had for years the basic electric toothbrush from Oral b. This one is much better and I can tell it is cleaning more thoroughly. The timer feature has promoted longer brushing sessions as well.,35
328,Oral-B 1000,2,I was very excited to receive this and start using it. When it arrived I was quite disappointed. It is cheaply made and is not at all what I was expected from this company. The speed is very fast and you can't slow it down and brush that comes with it is very harsh on teeth. I was going to order more expensive toothbrush but I thought I give this a try before spending lot more money. I am not recommending this at all.,84
329,Harmed my gums.,1,"Hard bristles that made my gums throb in pain, even though I tried moving the adjusting my grip, hold position, and time I cleaned the tooth with it. All to no avail.
I cannot speak to whether there was a blue tooth function.
No timer. It kept going and did not shut off automatically.",54
330,Dont waste your money,1,"I saw another review here that stated it was like brushing with a weed wacker and I couldn't agree more. I have an old product from this manufacturer (about 6 yrs old) and it was great--felt good in my hand, brushing action was smooth and relatively quiet, recognizes too much pressure and promptly lets you know. Only issue with it is it will no longer hold a charge for longer than a day or two. So I bought the Oral B 1000-what a waste of money. If I hadn't thrown the box away I would have returned it. Feels awful in my hand, weed-wacker brushing action is apt description--loud and brutal, pressure monitoring is spotty. Don't waste your money.",119
331,Not that impressed,2,"Eh. I don't understand what the big buzz is about on this toothbrush. Yes, it does clean well (I guess). BUT, I just purchased this brush recently and its bristles are already weakened and not stiff/sharp. This brush also needs to be charged like every single night, like for the whole night, just to be safe. It gets annoying after awhile. I dont see this brush lasting for a good amount of time.",73
332,Strong Simple Economical Durable,5,"If this was the only tooth brush on the market the world would be a better place. Its way better than a non-electric toothbrush. It’s got a powerful brush, no needless features, it’s not complicated, it’s not expensive, generic replacement brush heads are dirt cheap, and if you like fancy expensive brush heads there are those too, and it lasts forever (10+ years? Idk... my family has 4 and they are all running like day 1). It’s gonna The best choice or close to the best choice no matter who you are/ what you are looking for. You can buy this or something 5x the price that’s only 10% better.",110
333,A feature I thought I'd like is annoying,3,"On all other electric toothbrushes, it vibrates when you reach the 3 min or whenever it is. This one vibrates whenever you're brushing too hard. I guess that's good to know, though it's annoying... but no way I was going to spend 4x as much on the premiere one that lights up when you're bushing too hard.",57
334,REPULSED. Sent apparently used/resold toothbrush.,1,"The box seemed to be factory sealed, but upon removing the various parts, the mechanical portion was covered in smudged fingerprints and had been halfheartedly ""cleaned"" of what looked like dried toothpaste. The toothbrush attachment had been completely removed from its own plastic/cardboard packaging and also looked as if it has already been used (more poorly ""cleaned"" toothpaste residue). I'm disgusted and aghast. It's like someone didn't even bother to try to disguise it was previously used. Just reglued the box and left the obviously previously used *during a pandemic* items as-is.",92
335,Ok toothbrush for daily cleaning but misses the mark,3,Honestly was super excited to get this toothbrush but ended up being a tad disappointed in the overall performance. I like how lightweight and slim the toothbrush itself is but after I brush my teeth I still can feel some grit on my teeth which I never had with my sonic are toothbrush I had prior… it doesn’t provide a very good deep clean but the timer function is a nice feature.,72
336,Best Value for Money Brush,5,"Although you may find fancier brushes with apps, bluetooth, etc. those bells and whistles are not needed and this brush works great to get the job done.
Pros:
The brush head is small and easy to maneuver
The pressure sensor pauses the brush when you apply too much pressure while brushing
Battery seems to last about a week on a single charge

Cons:
The charging stand is not waterproof
Due to the small size of the brush head, you have to brush one tooth at a time
My dentist recommended Philips Sonicare over this, but this may just be a matter of preference",103
337,High quality and very user friendly,4,"This was a much needed upgrade over a non-electric toothbrush, and it had met nearly all expectations! It is very quick to setup and extremely easy to use.

The timer function is helpful, especially for those who may be bad at keeping track of time while brushing ( like myself ).

The only thing I wish this came with was a cover for the cap like some others have, as I generally had my toothbrush out on the counter due to very limited storage space.",85
338,Quality electric toothbrush,5,"I'll admit I was very puzzled when I first bought this since I didn't read the instructions and thought the toothbrush had a defect when it kept pausing intermittently. It took several days of brushing before it finally clicked that it was the brush giving me a 30 second timer - silly me. :) I've been using it for a few months now and have had no issues, liking it a lot!",72
339,This is like a drill in your mouth,2,"I've used Sonicare and another low brand before getting this Braun brush, to replace the low brand I also bought from Amazon. I am so disappointed. The bristles are hard, the round head is too big (depth-wise) for my regular-sized mouth, and it's loud as a dentist's drill. It cuts my gums every time I use it bc the bristles are too harsh. I wish I could get my money back.",71
340,Teeth feel clean but....,4,"The toothbrush is great 👍 I'm very happy with it, but I'm very confused by the battery life.... You have to charge it for 22 hours for 40 minutes of run time? That's two 2min sessions per day for 10 days.. they really need to upgrade the batteries & charging system. But overall I'm happy enough with it & I'm going to get a 2nd one so my wife and I each have our own.",75
341,I love this electric toothbrush,5,"I have never had an electric toothbrush. My dental hygienist suggested I should get one. Well after a few months, I still love it. I feel my teeth and gums are getting cleaner than with a regular toothbrush. Not a bad price either.",43
